Name,SeasonStartPrice,YesterdaysPrice,CurrentPrice,CurrentSentiment,AveragePointsPerMillion,CurrentPointsPerMillion,PriceChangeFromStart,Unnamed: 8,ChangeName,ChangeOrder,Unnamed: 11,ChangeName2,ChangeOrder2,Unnamed: 14,Unnamed: 15,PriceChange,Unnamed: 17,Unnamed: 18,To U,To K,Unnamed: 21,LastRacePrice,Diff,To N,Unnamed: 25,Average Points,CurrentPoints
Hamilton,19.3,19.4,19.4,22,0.62,0.62,0.1,,Hamilton,0.0,,Stroll,0.5,0.62,1,0.0,,0.003,0.003,0.003,,19.3,0.1,0.103,,12.0,12.0
Russell,18.8,19.1,19.1,10,1.05,1.05,0.3,,Russell,0.0,,Ocon,0.5,1.05,2,0.0,,0.0029,0.0029,0.0029,,18.8,0.3,0.3029,,20.0,20.0
Leclerc,19.1,19.4,19.4,30,1.13,1.13,0.3,,Leclerc,0.0,,Zhou,0.5,1.13,3,0.0,,0.0028,0.0028,0.0028,,19.1,0.3,0.3028,,22.0,22.0
Sainz,18.5,18.8,18.8,21,1.91,1.91,0.3,,Sainz,0.0,,Magnussen,0.5,1.91,4,0.0,,0.0027,0.0027,0.0027,,18.5,0.3,0.3027,,36.0,36.0
Verstappen,30.0,30.2,30.2,47,1.49,1.49,0.2,,Verstappen,0.0,,Aston Martin,0.5,1.49,5,0.0,,0.0026,0.0026,0.0026,,30.0,0.2,0.2026,,45.0,45.0
Perez,20.8,21.1,21.1,10,1.47,1.47,0.3,,Perez,0.0,,Russell,0.3,1.47,6,0.0,,0.0025,0.0025,0.0025,,20.8,0.3,0.3025,,31.0,31.0
Norris,23.0,23.1,23.1,21,0.69,0.69,0.1,,Norris,0.0,,Leclerc,0.3,0.69,7,0.0,,0.0024,0.0024,0.0024,,23.0,0.1,0.1024,,16.0,16.0
Piastri,19.0,19.1,19.1,16,0.52,0.52,0.1,,Piastri,0.0,,Sainz,0.3,0.52,8,0.0,,0.0023,0.0023,0.0023,,19.0,0.1,0.1023,,10.0,10.0
Alonso,15.8,15.9,15.9,33,0.44,0.44,0.1,,Alonso,0.0,,Perez,0.3,0.44,9,0.0,,0.0022,0.0022,0.0022,,15.8,0.1,0.1022,,7.0,7.0
Stroll,10.7,11.2,11.2,16,0.71,0.71,0.5,,Stroll,0.0,,Ferrari,0.3,0.71,10,0.0,,0.0021,0.0021,0.0021,,10.7,0.5,0.5021,,8.0,8.0
Gasly,7.8,7.7,7.7,32,0.78,0.78,-0.1,,Gasly,0.0,,Verstappen,0.2,0.78,11,0.0,,0.002,0.002,0.002,,7.8,-0.1,-0.098,,6.0,6.0
Ocon,7.8,8.3,8.3,11,0.84,0.84,0.5,,Ocon,0.0,,Hamilton,0.1,0.84,12,0.0,,0.0019,0.0019,0.0019,,7.8,0.5,0.5019,,7.0,7.0
Tsunoda,8.0,7.8,7.8,30,0.00,-0.13,-0.2,,Tsunoda,0.0,,Norris,0.1,-0.13,13,0.0,,0.0018,0.0018,0.0018,,8.0,-0.2,-0.1982,,0.0,-1.0
Ricciardo,9.0,8.9,8.9,56,0.56,0.56,-0.1,,Ricciardo,0.0,,Piastri,0.1,0.56,14,0.0,,0.0017,0.0017,0.0017,,9.0,-0.1,-0.0983,,5.0,5.0
Albon,7.0,6.8,6.8,60,0.00,0.00,-0.2,,Albon,0.0,,Alonso,0.1,0.0,15,0.0,,0.0016,0.0016,0.0016,,7.0,-0.2,-0.1984,,0.0,0.0
Sargeant,5.5,5.4,5.4,17,0.56,0.56,-0.1,,Sargeant,0.0,,Mercedes,0.1,0.56,16,0.0,,0.0015,0.0015,0.0015,,5.5,-0.1,-0.0985,,3.0,3.0
Bottas,6.4,6.2,6.2,25,0.00,0.00,-0.2,,Bottas,0.0,,Red Bull,0.1,0.0,17,0.0,,0.0014,0.0014,0.0014,,6.4,-0.2,-0.1986,,0.0,0.0
