driver,team,winner,top3,top6,top10,flap,dnf
Hamilton,Mercedes,8.25,2.0625,1.2941176470588236,1.1186440677966103,5.5,13.2
Perez,Red Bull,13.2,2.64,1.346938775510204,1.222222222222222,9.428571428571429,8.25
Ricciardo,RB,66.0,66.0,6.0,3.142857142857143,66.0,16.5
Bottas,Sauber,66.0,6.0,3.666666666666667,2.357142857142857,16.5,5.0769230769230775
Verstappen,Red Bull,1.5,1.1785714285714286,1.1379310344827587,1.0819672131147542,3.3,13.2
Sainz,Ferrari,33.0,4.125,1.6097560975609757,1.222222222222222,33.0,7.333333333333334
Ocon,Alpine,66.0,33.0,7.333333333333334,1.5714285714285714,500.0,5.5
Leclerc,Ferrari,22.0,3.666666666666667,1.5348837209302326,1.2452830188679247,22.0,6.6
Russell,Mercedes,66.0,6.0,2.0625,1.6097560975609757,13.2,6.0
Alonso,Aston Martin,500.0,7.333333333333334,3.0,1.375,66.0,6.6
Gasly,Alpine,500.0,33.0,5.0769230769230775,2.0625,66.0,6.6
Norris,McLaren,500.0,5.5,2.357142857142857,1.2452830188679247,16.5,16.5
Piastri,McLaren,500.0,33.0,13.2,6.0,33.0,22.0
Magnussen,Haas,500.0,500.0,66.0,7.333333333333334,500.0,6.6
Stroll,Aston Martin,500.0,500.0,9.428571428571429,2.2758620689655173,500.0,6.0
Tsunoda,RB,500.0,500.0,33.0,3.8823529411764706,66.0,5.0769230769230775
Hulkenberg,Haas,500.0,500.0,500.0,66.0,500.0,33.0
Albon,Williams,500.0,500.0,500.0,6.6,500.0,7.333333333333334
Zhou,Sauber,500.0,500.0,500.0,11.0,33.0,8.25
Sargeant,Williams,500.0,500.0,500.0,66.0,500.0,9.428571428571429
