driver,team,winner,top3,top6,top10,flap,dnf
Hamilton,Mercedes,10,8,1.22,1.15,3.25,6.5
Verstappen,Red Bull,1.58,1.32,1.2,1.15,2.63,6
Russell,Mercedes,20,18,14,3,7,5
Perez,Red Bull,6,5,1.32,1.21,6,6
Ricciardo,McLaren,3000,200,100,10,41,5.5
Leclerc,Ferrari,2,1.9,1.45,1.25,19,5
Vettel,Aston Martin,1001,500,66,10,251,5
Alonso,Alpine,300,34,15,1.62,251,5.5
Sainz,Ferrari,3,2.5,1.56,1.33,34,6
Stroll,Aston Martin,1501,151,50,4,251,5
Norris,McLaren,276,50,22,10,41,5.5
Gasly,Alphatauri,67,7,1.75,1.33,51,5
Ocon,Alpine,1001,101,100,3.25,251,5
Zhou,Alfa Romeo,2001,151,100,10,251,5.5
Tsunoda,Alphatauri,1001,200,100,10,251,4
Bottas,Alfa Romeo,60,20,2,1.5,251,5
Latifi,Williams,2001,501,101,7,501,5
Albon,Williams,2001,151,100,3.4,251,5
Schumacher,Haas,500,300,55,3,501,5
Magnussen,Haas,400,200,10,2,501,3.75
